,agent_firm_name,case_status,class_of_admission,country_of_citizenship,employer_city,employer_decl_info_title,employer_name,employer_num_employees,employer_state,foreign_worker_info_education,foreign_worker_info_inst,foreign_worker_info_major,foreign_worker_info_state,pw_level_9089,pw_soc_title,wage_offer_from_9089
1218,Stoll Keenon Ogden PLLC,Certified,H-1B,SOUTH KOREA,LOUISVILLE,Executive Vice President and University Provost,UNIVERSITY OF LOUISVILLE,9148.0,KENTUCKY,Master's,UNIVERSITY OF LOUISVILLE,CIVIL & ENVIRONMENTAL ENGINEERING,KENTUCKY,2,"Civil Engineers, R&D (ACWIA Only)",10216.96
1219,Law Offices of Neil J. Sheff,Certified,H-1B,HONDURAS,SANTA MONICA,DIRECTOR OF HR,HIRSH / BEDNER ASSOCIATES,170.0,CALIFORNIA,Bachelor's,SAVANNAH COLLEGE OF ART AND DESIGN,INTERIOR DESIGN,CALIFORNIA,1,Interior Designers,36629.0
1220,"Law Offices of Jane Oak & Associates, P.C.",Denied,H-1B,THAILAND,LOS ANGELES,Executive Director,THAI COMMUNITY DEVELOPMENT CENTER,9.0,CALIFORNIA,Master's,UNIVERSITY OF CALIFORNIA,BUSINESS ADMINISTRATION,CALIFORNIA,2,Social and Community Service Managers,55515.0
1221,Berry Appleman & Leiden LLP,Certified,H-1B,INDIA,CHICAGO,Executive Director & Assistant General Counsel,JP MORGAN CHASE & CO,239000.0,ILLINOIS,Master's,"RAJIV GANDHI PROUDYOGIKI VISHWAVIDYALAYA, BHOPAL",COMPUTER APPLICATIONS,TEXAS,4,"Software Developers, Applications",110000.0
1222,"Law Offices A.E. Gustafsson, P.C.",Denied,H-1B,SOUTH AFRICA,CHICAGO,President,"AUTOMATED PARKING TECHNOLOGIES, LLC",14.0,ILLINOIS,Other,TECHNICON,COMP. ENG.,ILLINOIS,2,Computer and Information Systems Managers,93995.0
1223,Murthy Law Firm,Denied,H-1B,PERU,EVANSVILLE,Administrator,"OHIO VALLEY EYE INSTITUTE, P.C.",22.0,INDIANA,Master's,OAKLAND CITY UNIVERSITY,BUSINESS ADMINISTRATION,INDIANA,1,Financial Managers,63253.0
1224,"FosterQuan, LLP",Certified,H-1B,PAKISTAN,HOUSTON,Human Resources Manager,"SBM ATLANTIA, INC.",534.0,TEXAS,Master's,NORWEGIAN UNIVERSITY OF SCIENCE AND TECHNOLOGY (NTNU),MARINE TECHNOLOGY,TEXAS,2,Marine Engineers and Naval Architects,77792.0
1225,"Law Office of Jocelyne J. Kim Lew, A Professional Corporation",Certified,H-1B,INDIA,SUNNYVALE,"Director, Talent Acquisition","PROOFPOINT, INC",310.0,CALIFORNIA,Master's,STATE UNIVERSITY OF NEW YORK AT BUFFALO,COMPUTER SCIENCE,CALIFORNIA,4,"Software Developers, Systems Software",152134.0
1226,Dinsmore & Shohl LLP,Certified,H-1B,HONG KONG,NORWOOD,Corporate Immigration Manager,ANALOG DEVICES INC.,3200.0,MASSACHUSETTS,Master's,"UNIVERSITY OF FLORIDA, GAINESVILLE",ELECTRICAL AND COMPUTER ENGINEERING,NORTH CAROLINA,3,"Electronics Engineers, Except Computer",106704.0
1227,"Klasko, Rulon, Stock & Seltzer, LLP",Certified,H-1B,INDIA,PHILADELPHIA,Human Resources Administrator,"COMCAST CABLE COMMUNICATIONS, LLC",129000.0,PENNSYLVANIA,Bachelor's,NAGPUR UNIVERSITY,ELECTRONICS ENGINEERING,PENNSYLVANIA,4,"Software Developers, Applications",106288.0
1228,"Law Offices of Amarnath Gowda, LL.B., J.D.",Certified,H-1B,INDIA,NORTHVILLE,Human Resources Manager,RELIABLE SOFTWARE RESOURCES INC,230.0,MICHIGAN,Master's,UNIVERSITY OF SOUTH ALABAMA,COMPUTER AND INFORMATION SCIENCES,MARYLAND,3,"Software Developers, Systems Software",82118.0
1229,"Arun Misra, P.C.",Denied,H-1B,INDIA,PRINCETON JUNCTION,PRESIDENT,MALVI SYSTEMS LLC,22.0,NEW JERSEY,Master's,KAKATIYA UNIVERSITY,COMPUTER APPLICATION,CONNECTICUT,2,"Software Developers, Applications",81500.0
1230,Black Helterline LLP,Certified,H-1B,INDIA,PORTLAND,DCA HR Analyst/ Senior,COUNTY OF MULTNOMAH,4600.0,OREGON,Master's,"OSMANIA UNIVERSITY, FACULTY OF ENGINEERING",COMPUTER INFORMATION SYSTEM,OREGON,0,"Software Developers, Systems Software",15034.24
1231,"Alston & Bird, LLP",Certified,H-1B,CHINA,COLUMBUS,Sr. Associate Counsel,AFLAC,4347.0,GEORGIA,Master's,AUBURN UNIVERSITY,MATHEMATICS/STATISTICS,ALABAMA,3,Actuaries,99000.0
1232,Robinson & Cole LLP,Certified,H-1B,INDIA,STAMFORD,Manager-Immigration & Legal Administration,PITNEY BOWES INC.,28000.0,CONNECTICUT,Bachelor's,NATIONAL INSTITUTE OF TECHNOLOGY,ENGINEERING,NEW YORK,4,"Transportation, Storage, and Distribution Managers",124654.0
1233,"VAG LAW, LLC",Certified,H-1B,INDIA,ELLICOTT CITY,CEO,"RESOURCESYS, INC",14.0,MARYLAND,Bachelor's,UNIVERSITY OF RAJASTHAN,ENGINEERING,MARYLAND,4,"Software Developers, Applications",117936.0
1234,Law Offices of Dakshini R. Sen P.C.,Certified,H-1B,INDIA,HOUSTON,Chief Internal Operations,DAILY INSTRUMENTS CORPORATION,100.0,TEXAS,Master's,TEXAS A&M UNIVERSITY,INDUSTRIAL ENGINEERING,TEXAS,2,Mechanical Engineers,81806.0
1235,Law Office of Sharon Lue,Certified,H-1B,INDIA,SAN JOSE,"Manager, HR & Finance","CIPHERCLOUD, INC.",52.0,CALIFORNIA,Bachelor's,JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY,COMPUTER SCIENCE & ENGINEERING,CALIFORNIA,4,"Software Developers, Applications",133328.0
1236,"Fragomen, Del Rey, Bernsen & Loewy, LLP",Denied,H-1B,MEXICO,SANTA CLARA,U.S. Immigration Ops Manager,INTEL CORPORATION,57750.0,CALIFORNIA,Doctorate,TEXAS A&M UNIVERSITY,CHEMISTRY,ARIZONA,3,Materials Engineers,93059.0
1237,"Joseph Law Firm, P.C.",Certified,H-1B,UNITED KINGDOM,ENGLEWOOD,Vice President,"TRIGPOINT SOLUTIONS, INC.",11.0,COLORADO,Bachelor's,UNIVERSITY OF HUDDERSFIELD,TRANSPORT AND LOGISTICS MANAGEMENT,COLORADO,4,Industrial Engineers,101192.0
1238,"Morse, Barnes-Brown & Pendleton PC",Certified,H-1B,CHINA,CAMBRIDGE,Director of Human Resources,"CAMBRIDGE SYSTEMATICS, INC.",270.0,MASSACHUSETTS,Master's,GEORGIA INSTITUE OF TECHNOLOGY,REGIONAL PLANNING,CALIFORNIA,1,Urban and Regional Planners,60000.0
1239,"Fragomen, Del Rey, Bernsen, & Loewy LLP",Certified,H-1B,INDIA,ABBOTT PARK,Senior Paralegal,ABBOTT LABORATORIES,70000.0,ILLINOIS,Master's,WAYNE STATE UNIVERSITY,ELECTRICAL ENGINEERING,CALIFORNIA,3,Computer Systems Analysts,100000.0
1240,Hinshaw & Culbertson LLP,Certified,H-1B,CANADA,LOVES PARK,HR Consultant,DANFOSS,365.0,ILLINOIS,Master's,SHANGHAI MARITIME UNIVERSITY,ELECTRICAL ENGINEERING,ILLINOIS,2,"Software Developers, Applications",81890.0
1241,"Fragomen, Del Rey, Bernsen & Loewy, LLP",Certified,H-1B,INDIA,NEW YORK,Team Leader,BLOOMBERG L.P.,15000.0,NEW YORK,Master's,CARNEGIE MELLON UNIVERSITY,INFORMATION SECURITY POLICY AND MANAGEMENT,NEW JERSEY,2,"Information Security Analysts, Web Developers, and Computer Network Architects",79100.0
1242,"Ralph Ehrenpreis, PLC",Certified,H-1B,SINGAPORE,LOS ANGELES,COO/CFO,"INSYGHT INTERACTIVE, INC.",40.0,CALIFORNIA,Bachelor's,MONASH UNIVERSITY,BUSINESS WITH SPECIALIZATIONS IN ACCOUNTING AND FINANCE,CALIFORNIA,2,Financial Managers,107494.0
1243,Murthy Law Firm,Certified,H-1B,INDIA,IRVING,President,I NET SOFTWARE TECHNOLOGIES INC,15.0,TEXAS,Master's,BHARATHIAR UNIVERSITY,APPLIED ELECTRONICS,ARIZONA,4,Database Administrators,95077.0
1244,Zulkie Partners LLC,Certified,H-1B,CHINA,CHICAGO,"Immigration Specialist, Nat'l HR",GRANT THORNTON LLP,5500.0,ILLINOIS,Bachelor's,FUDAN UNIVERSITY,ECONOMICS,CALIFORNIA,2,Financial Managers,115100.0
1245,Berry Appleman & Leiden LLP,Certified,H-1B,CHILE,MOUNTAIN VIEW,Global Immigration Program Manager,GOOGLE INC.,53861.0,CALIFORNIA,Master's,CARNEGIE MELLON UNIVERSITY,INFORMATION TECHNOLOGY-EBUSINESS TECHNOLOGY,CALIFORNIA,2,Marketing Managers,134285.0
1246,"EMANDI LAW FIRM, PC.",Certified,H-1B,INDIA,DUBLIN,Director,MATCHPOINT SOLUTIONS,30.0,CALIFORNIA,Associate's,PANJAB UNIVERSITY,ARTS,CALIFORNIA,2,"Software Developers, Applications",87402.0
1247,"Tocci, Goss & Lee, PC",Certified,H-1B,ISRAEL,BELMONT,CEO,"BELMONT TELECOM, INC.",10.0,MASSACHUSETTS,Master's,DONETSK STATE TECHNICAL UNIVERSITY,MECHANICAL ENGINEERING,MASSACHUSETTS,3,"Software Developers, Applications",98821.0
1248,Berry Appleman & Leiden LLP,Certified,H-1B,CHINA,MOUNTAIN VIEW,Global Immigration Program Manager,GOOGLE INC.,53861.0,CALIFORNIA,Doctorate,STANFORD UNIVERSITY,MANAGEMENT SCIENCE AND ENGINEERING,CALIFORNIA,1,Statisticians,127000.0
1249,"Sharma Yaskhi Sokolov & Susheelan, LLP",Certified,H-1B,INDIA,RUSTON,HR Manager,"INFOSYTECH SOLUTIONS, INC.",33.0,LOUISIANA,Master's,LOUISIANA TECH UNIVERSITY,ELECTRICAL ENGINEERING,LOUISIANA,2,"Software Developers, Applications",59093.0
1250,"Fragomen, Del Rey, Bernsen & Loewy, LLP",Certified,H-1B,INDIA,NEW YORK,"Vice President, Human Resources",LAZARD FRERES & CO. LLC.,2513.0,NEW YORK,Bachelor's,SWAMI RAMANAND TEERTH MARATHWADA UNIVERSITY,COMPUTER SCIENCE AND ENGINEERING,NEW JERSEY,2,Computer Systems Analysts,110000.0
1251,"Masuda, Funai, Eifert & Mitchell, Ltd.",Certified,H-1B,INDIA,SCHAUMBURG,Vice President,GANTEC CORPORATION,75.0,ILLINOIS,Master's,SAMBALPUR UNIVERSITY,COMPUTER APPLICATIONS,ILLINOIS,2,"Software Developers, Applications",77000.0
